X,Y,objectid,id_punto,nombreestablecimiento,direccion,codigo_mpio,municipio,barrio,linea_cuenca,estado,longitud,latitud
-75.5699466899494,6.31231800004635,156,156,Barrio Nuevo La Trampa,CR 60 22 A 16,05088,Medellín,Santander,C2B,En servicio,-75.56994669,6.312318
-75.5655299997859,6.29637000001271,157,157,Belalcazar 2,CR 64 A 103 4,05001,Medellín,Girardot,C2B,En servicio,-75.56553,6.29637
-75.5732299999735,6.28844000011915,158,158,Boutique Esencia Y Belleza,CR 68 A  93 124,05001,Medellín,Castilla,C2B,En servicio,-75.57323,6.28844
-75.5625641804343,6.31026774977179,159,159,Boyaca Las Brisas,CR 64 D 116 A 28,05088,Medellín,Girardot,C2B,En servicio,-75.56256418,6.31026775
-75.5666699996106,6.30550358983722,160,160,Brisas,CR 67 109 31,05001,Medellín,Girardot,C2B,En servicio,-75.56667,6.30550359
-75.5593800004001,6.30022999982168,161,161,Cafe Internet Mundo Virtual,CR 63 104 96,05001,Medellín,Girardot,C2B,En servicio,-75.55938,6.30023
-75.5767199997681,6.29572999993561,162,162,Candilejas 2,CL 98 74 09,05001,Medellín,Castilla,C2B,En servicio,-75.57672,6.29573
-75.5831582002565,6.2880260298256,163,163,Carniceria Carolina,CR 78 90 84,05001,Medellín,Kennedy,C2B,En servicio,-75.5831582,6.28802603
-75.5836001300538,6.28936726955784,164,164,Casa De Leticia Cano,CR 79 91 B 30,05001,Medellín,Kennedy,C2B,En servicio,-75.58360013,6.28936727
-75.574478930408,6.29335590998948,165,165,Castilla La 72,CR 72 97 05,05001,Medellín,Castilla,C2B,En servicio,-75.57447893,6.29335591
-75.5744633697906,6.28886064993886,166,166,Castilla La 93,CR 70 93 133,05001,Medellín,Castilla,C2B,En servicio,-75.57446337,6.28886065
-75.5654541397551,6.30579476980652,167,167,Cofinet,CR 66 110 20,05001,Medellín,Girardot,C2B,En servicio,-75.56545414,6.30579477
-75.5722976070991,6.30179641121326,168,168,Consumo Pedregal,CR 74 104 04,05001,Medellín,Girardot,C2B,En servicio,-75.57229761,6.30179641
-75.5726632304029,6.30064623993568,169,169,Crearcoop,CR 74 103C 08,05001,Medellín,Girardot,C2B,En servicio,-75.57266323,6.30064624
-75.580444169696,6.29818412961078,170,170,Doce Octubre Qap,CR 80 98 D 13,05001,Medellín,Kennedy,C2B,En servicio,-75.58044417,6.29818413
-75.5736073597665,6.28545578034269,171,171,Drogeria Maxidescuentos,CL 92 CC 67 08,05001,Medellín,Castilla,C2B,En servicio,-75.57360736,6.28545578
-75.5774699996056,6.29593000004443,172,172,Drogueria Duque,K 74 B 98 38,05001,Medellín,Castilla,C2B,En servicio,-75.57747,6.29593
-75.449330000057,6.37649000025891,173,173,El Caldas,CRA 17 10 12,05308,Girardota,Girardota,C2B,En servicio,-75.44933,6.37649
-75.5753039000458,6.28812711000834,174,174,Esquina La 71,CL 92E 70A 25,05001,Medellín,Castilla,C2B,En servicio,-75.5753039,6.28812711
-75.6027406002879,6.24181320019808,175,175,Farmacia Drogueria Real,CR 80 97 B  07,05001,Medellín,Kennedy,C2B,En servicio,-75.6027406,6.2418132
-75.5693834804023,6.30968475986197,176,176,Florencia,CR 74 114 12,05001,Medellín,Santander,C2B,En servicio,-75.56938348,6.30968476
-75.586349999801,6.29603000006998,177,177,Fruta Fria,CR 84 B 94 C 35,05001,Medellín,Kennedy,C2B,En servicio,-75.58635,6.29603
-75.5856075997109,6.28968653964325,178,178,Gaitan La 84,CL 91 C 84 7,05001,Medellín,Kennedy,C2B,En servicio,-75.5856076,6.28968654
